
Label=V(VOUT) vs I(I1)
LabelX=I(I1)
LabelY=V(VOUT)
Data Point Count=201
I(I1),I(I1),V(VOUT)
 9.9999999999999815E-005, 9.9999999999999815E-005, 2.2074848608163871E+000
 1.0099999999999981E-004, 1.0099999999999981E-004, 2.2295835636278212E+000
 1.0199999999999981E-004, 1.0199999999999981E-004, 2.2516822664392584E+000
 1.0299999999999981E-004, 1.0299999999999981E-004, 2.2737809692506854E+000
 1.0399999999999980E-004, 1.0399999999999980E-004, 2.2958796720621191E+000
 1.0499999999999980E-004, 1.0499999999999980E-004, 2.3179783748735470E+000
 1.0599999999999980E-004, 1.0599999999999980E-004, 2.3400770776849873E+000
 1.0699999999999980E-004, 1.0699999999999980E-004, 2.3621757804964161E+000
 1.0799999999999979E-004, 1.0799999999999979E-004, 2.3842744833078524E+000
 1.0899999999999979E-004, 1.0899999999999979E-004, 2.4063731861192816E+000
 1.0999999999999979E-004, 1.0999999999999979E-004, 2.4284718889307149E+000
 1.1099999999999978E-004, 1.1099999999999978E-004, 2.4505705917421472E+000
 1.1199999999999978E-004, 1.1199999999999978E-004, 2.4726692945535809E+000
 1.1299999999999978E-004, 1.1299999999999978E-004, 2.4947679973650105E+000
 1.1399999999999978E-004, 1.1399999999999978E-004, 2.5168667001764429E+000
 1.1499999999999977E-004, 1.1499999999999977E-004, 2.5389654029878788E+000
 1.1599999999999977E-004, 1.1599999999999977E-004, 2.5610641057993098E+000
 1.1699999999999977E-004, 1.1699999999999977E-004, 2.5831628086107439E+000
 1.1799999999999976E-004, 1.1799999999999976E-004, 2.6052615114221780E+000
 1.1899999999999976E-004, 1.1899999999999976E-004, 2.6273602142336125E+000
 1.1999999999999976E-004, 1.1999999999999976E-004, 2.6494589170450431E+000
 1.2099999999999976E-004, 1.2099999999999976E-004, 2.6715576198564754E+000
 1.2199999999999975E-004, 1.2199999999999975E-004, 2.6936563226679069E+000
 1.2299999999999976E-004, 1.2299999999999976E-004, 2.7157550254793410E+000
 1.2399999999999976E-004, 1.2399999999999976E-004, 2.7378537282907733E+000
 1.2499999999999976E-004, 1.2499999999999976E-004, 2.7599524311022048E+000
 1.2599999999999976E-004, 1.2599999999999976E-004, 2.7820511339136385E+000
 1.2699999999999975E-004, 1.2699999999999975E-004, 2.8041498367250712E+000
 1.2799999999999975E-004, 1.2799999999999975E-004, 2.8262485395364991E+000
 1.2899999999999975E-004, 1.2899999999999975E-004, 2.8483472423479146E+000
 1.2999999999999974E-004, 1.2999999999999974E-004, 2.8704459451593136E+000
 1.3099999999999974E-004, 1.3099999999999974E-004, 2.8925446479706678E+000
 1.3199999999999974E-004, 1.3199999999999974E-004, 2.9146433507819234E+000
 1.3299999999999974E-004, 1.3299999999999974E-004, 2.9367420535929210E+000
 1.3399999999999973E-004, 1.3399999999999973E-004, 2.9588407564033399E+000
 1.3499999999999973E-004, 1.3499999999999973E-004, 2.9809394592123817E+000
 1.3599999999999973E-004, 1.3599999999999973E-004, 3.0030381620181945E+000
 1.3699999999999973E-004, 1.3699999999999973E-004, 3.0251368648164383E+000
 1.3799999999999972E-004, 1.3799999999999972E-004, 3.0472355675968728E+000
 1.3899999999999972E-004, 1.3899999999999972E-004, 3.0693342703354505E+000
 1.3999999999999972E-004, 1.3999999999999972E-004, 3.0914329729756620E+000
 1.4099999999999971E-004, 1.4099999999999971E-004, 3.1135316753846842E+000
 1.4199999999999971E-004, 1.4199999999999971E-004, 3.1356303772466072E+000
 1.4299999999999971E-004, 1.4299999999999971E-004, 3.1577290778246749E+000
 1.4399999999999971E-004, 1.4399999999999971E-004, 3.1798277752616642E+000
 1.4499999999999970E-004, 1.4499999999999970E-004, 3.2019264637363718E+000
 1.4599999999999970E-004, 1.4599999999999970E-004, 3.2240251014404673E+000
 1.4699999999999970E-004, 1.4699999999999970E-004, 3.2461215575969824E+000
 1.4799999999999969E-004, 1.4799999999999969E-004, 3.2656179282931159E+000
 1.4899999999999969E-004, 1.4899999999999969E-004, 3.2696497767949477E+000
 1.4999999999999969E-004, 1.4999999999999969E-004, 3.2698620559991705E+000
 1.5099999999999969E-004, 1.5099999999999969E-004, 3.2698596258875341E+000
 1.5199999999999968E-004, 1.5199999999999968E-004, 3.2698571913589740E+000
 1.5299999999999968E-004, 1.5299999999999968E-004, 3.2698547536933003E+000
 1.5399999999999968E-004, 1.5399999999999968E-004, 3.2698523134313033E+000
 1.5499999999999967E-004, 1.5499999999999967E-004, 3.2698498710072443E+000
 1.5599999999999967E-004, 1.5599999999999967E-004, 3.2698474268409341E+000
 1.5699999999999967E-004, 1.5699999999999967E-004, 3.2698449817836699E+000
 1.5799999999999967E-004, 1.5799999999999967E-004, 3.2698425372318409E+000
 1.5899999999999966E-004, 1.5899999999999966E-004, 3.2698400956708147E+000
 1.5999999999999966E-004, 1.5999999999999966E-004, 3.2698376614335749E+000
 1.6099999999999966E-004, 1.6099999999999966E-004, 3.2698352423300401E+000
 1.6199999999999966E-004, 1.6199999999999966E-004, 3.2698328516976405E+000
 1.6299999999999965E-004, 1.6299999999999965E-004, 3.2698305113114792E+000
 1.6399999999999965E-004, 1.6399999999999965E-004, 3.2698282538579235E+000
 1.6499999999999965E-004, 1.6499999999999965E-004, 3.2698261224882241E+000
 1.6599999999999964E-004, 1.6599999999999964E-004, 3.2698241630885736E+000
 1.6699999999999964E-004, 1.6699999999999964E-004, 3.2698224107818272E+000
 1.6799999999999964E-004, 1.6799999999999964E-004, 3.2698208787488778E+000
 1.6899999999999964E-004, 1.6899999999999964E-004, 3.2698195572393836E+000
 1.6999999999999963E-004, 1.6999999999999963E-004, 3.2698184221690498E+000
 1.7099999999999963E-004, 1.7099999999999963E-004, 3.2698174445552568E+000
 1.7199999999999963E-004, 1.7199999999999963E-004, 3.2698165968126820E+000
 1.7299999999999962E-004, 1.7299999999999962E-004, 3.2698158551741754E+000
 1.7399999999999962E-004, 1.7399999999999962E-004, 3.2698152003855419E+000
 1.7499999999999962E-004, 1.7499999999999962E-004, 3.2698146171024893E+000
 1.7599999999999962E-004, 1.7599999999999962E-004, 3.2698140930757731E+000
 1.7699999999999961E-004, 1.7699999999999961E-004, 3.2698136186973592E+000
 1.7799999999999961E-004, 1.7799999999999961E-004, 3.2698131862939293E+000
 1.7899999999999961E-004, 1.7899999999999961E-004, 3.2698127896836433E+000
 1.7999999999999960E-004, 1.7999999999999960E-004, 3.2698124238762398E+000
 1.8099999999999960E-004, 1.8099999999999960E-004, 3.2698120848548280E+000
 1.8199999999999960E-004, 1.8199999999999960E-004, 3.2698117691728887E+000
 1.8299999999999960E-004, 1.8299999999999960E-004, 3.2698114740427893E+000
 1.8399999999999959E-004, 1.8399999999999959E-004, 3.2698111971266441E+000
 1.8499999999999959E-004, 1.8499999999999959E-004, 3.2698109364858867E+000
 1.8599999999999959E-004, 1.8599999999999959E-004, 3.2698106903933515E+000
 1.8699999999999959E-004, 1.8699999999999959E-004, 3.2698104573843425E+000
 1.8799999999999958E-004, 1.8799999999999958E-004, 3.2698102361697940E+000
 1.8899999999999958E-004, 1.8899999999999958E-004, 3.2698100257740776E+000
