"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
124,25 Jul 2021 00:30:18.348,25 Jul 2021 00:36:38.926,380.578
125,25 Jul 2021 02:07:01.729,25 Jul 2021 02:11:48.817,287.088
126,25 Jul 2021 18:44:48.420,25 Jul 2021 18:50:35.477,347.057
127,25 Jul 2021 20:20:45.675,25 Jul 2021 20:26:55.722,370.047
128,25 Jul 2021 21:57:48.502,25 Jul 2021 22:03:17.350,328.848
129,25 Jul 2021 23:34:13.071,25 Jul 2021 23:40:19.763,366.692
130,26 Jul 2021 01:10:29.844,26 Jul 2021 01:16:26.316,356.472
131,26 Jul 2021 17:49:33.960,26 Jul 2021 17:53:57.292,263.332
132,26 Jul 2021 19:24:28.150,26 Jul 2021 19:30:49.995,381.845
133,26 Jul 2021 21:01:24.653,26 Jul 2021 21:07:00.845,336.192
134,26 Jul 2021 22:38:05.978,26 Jul 2021 22:43:54.095,348.117
135,27 Jul 2021 00:14:14.791,27 Jul 2021 00:20:35.444,380.653
136,27 Jul 2021 01:52:27.110,27 Jul 2021 01:53:45.761,78.650
137,27 Jul 2021 18:28:23.066,27 Jul 2021 18:34:40.730,377.664
138,27 Jul 2021 20:04:57.597,27 Jul 2021 20:10:50.195,352.599
139,27 Jul 2021 21:41:53.957,27 Jul 2021 21:47:27.298,333.341
140,27 Jul 2021 23:18:06.661,27 Jul 2021 23:24:26.661,380.000
141,28 Jul 2021 00:54:48.318,28 Jul 2021 00:59:39.423,291.105
142,28 Jul 2021 17:32:37.108,28 Jul 2021 17:38:22.173,345.065
143,28 Jul 2021 19:08:32.279,28 Jul 2021 19:14:43.134,370.855
144,28 Jul 2021 20:45:35.131,28 Jul 2021 20:51:04.030,328.899
145,28 Jul 2021 22:22:00.351,28 Jul 2021 22:28:06.139,365.788
146,28 Jul 2021 23:58:16.460,29 Jul 2021 00:04:14.418,357.959
147,29 Jul 2021 16:37:23.546,29 Jul 2021 16:41:41.520,257.974
148,29 Jul 2021 18:12:14.123,29 Jul 2021 18:18:36.364,382.241
149,29 Jul 2021 19:49:10.006,29 Jul 2021 19:54:46.825,336.819
150,29 Jul 2021 21:25:52.069,29 Jul 2021 21:31:39.334,347.265
151,29 Jul 2021 23:02:00.810,29 Jul 2021 23:08:21.660,380.850
152,30 Jul 2021 00:40:02.574,30 Jul 2021 00:41:43.776,101.202
153,30 Jul 2021 17:16:08.673,30 Jul 2021 17:22:25.847,377.174
154,30 Jul 2021 18:52:41.862,30 Jul 2021 18:58:35.412,353.550
155,30 Jul 2021 20:29:38.733,30 Jul 2021 20:35:11.630,332.896
156,30 Jul 2021 22:05:51.819,30 Jul 2021 22:12:11.283,379.464
157,30 Jul 2021 23:42:31.760,30 Jul 2021 23:47:26.967,295.207
158,31 Jul 2021 16:20:22.728,31 Jul 2021 16:26:05.702,342.974
159,31 Jul 2021 17:56:15.694,31 Jul 2021 18:02:27.457,371.763
160,31 Jul 2021 19:33:18.546,31 Jul 2021 19:38:47.618,329.073
161,31 Jul 2021 21:09:44.461,31 Jul 2021 21:15:49.397,364.936
162,31 Jul 2021 22:45:59.923,31 Jul 2021 22:51:59.438,359.515
163,1 Aug 2021 15:25:10.220,1 Aug 2021 15:29:22.438,252.218

