"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
123,25 Jul 2021 18:48:03.832,25 Jul 2021 18:54:26.961,383.128
124,25 Jul 2021 20:24:43.326,25 Jul 2021 20:30:44.989,361.662
125,25 Jul 2021 22:01:08.877,25 Jul 2021 22:07:26.854,377.977
126,25 Jul 2021 23:37:30.140,25 Jul 2021 23:43:19.483,349.343
127,26 Jul 2021 16:18:28.505,26 Jul 2021 16:20:27.671,119.166
128,26 Jul 2021 17:51:59.016,26 Jul 2021 17:58:17.963,378.948
129,26 Jul 2021 19:28:24.448,26 Jul 2021 19:34:32.217,367.769
130,26 Jul 2021 21:04:59.900,26 Jul 2021 21:11:08.547,368.647
131,26 Jul 2021 22:41:14.228,26 Jul 2021 22:47:31.763,377.536
132,27 Jul 2021 00:19:26.842,27 Jul 2021 00:20:36.830,69.988
133,27 Jul 2021 16:56:09.084,27 Jul 2021 17:02:02.733,353.649
134,27 Jul 2021 18:32:05.577,27 Jul 2021 18:38:22.650,377.073
135,27 Jul 2021 20:08:47.184,27 Jul 2021 20:14:49.169,361.984
136,27 Jul 2021 21:45:04.486,27 Jul 2021 21:51:27.786,383.300
137,27 Jul 2021 23:21:48.565,27 Jul 2021 23:26:31.210,282.646
138,28 Jul 2021 16:00:43.685,28 Jul 2021 16:05:32.482,288.797
139,28 Jul 2021 17:35:50.999,28 Jul 2021 17:42:14.346,383.347
140,28 Jul 2021 19:12:30.156,28 Jul 2021 19:18:31.957,361.800
141,28 Jul 2021 20:48:56.126,28 Jul 2021 20:55:13.605,377.479
142,28 Jul 2021 22:25:16.800,28 Jul 2021 22:31:07.759,350.959
143,29 Jul 2021 15:06:24.065,29 Jul 2021 15:08:06.427,102.362
144,29 Jul 2021 16:39:45.648,29 Jul 2021 16:46:04.208,378.560
145,29 Jul 2021 18:16:10.156,29 Jul 2021 18:22:18.366,368.210
146,29 Jul 2021 19:52:45.985,29 Jul 2021 19:58:54.192,368.207
147,29 Jul 2021 21:29:00.252,29 Jul 2021 21:35:18.235,377.983
148,29 Jul 2021 23:07:01.955,29 Jul 2021 23:08:35.386,93.431
149,30 Jul 2021 15:43:55.495,30 Jul 2021 15:49:47.581,352.086
150,30 Jul 2021 17:19:50.329,30 Jul 2021 17:26:07.925,377.596
151,30 Jul 2021 18:56:32.038,30 Jul 2021 19:02:33.875,361.837
152,30 Jul 2021 20:32:49.619,30 Jul 2021 20:39:12.734,383.114
153,30 Jul 2021 22:09:32.100,30 Jul 2021 22:14:18.858,286.758
154,31 Jul 2021 14:48:30.523,31 Jul 2021 14:53:15.309,284.786
155,31 Jul 2021 16:23:35.003,31 Jul 2021 16:29:58.630,383.627
156,31 Jul 2021 18:00:13.788,31 Jul 2021 18:06:15.830,362.042
157,31 Jul 2021 19:36:40.200,31 Jul 2021 19:42:57.246,377.046
158,31 Jul 2021 21:13:00.302,31 Jul 2021 21:18:52.963,352.661
159,1 Aug 2021 13:54:18.753,1 Aug 2021 13:55:39.841,81.088
160,1 Aug 2021 15:27:29.150,1 Aug 2021 15:33:47.332,378.183

