"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
122,25 Jul 2021 21:53:23.829,25 Jul 2021 21:59:45.843,382.014
123,25 Jul 2021 23:29:44.055,25 Jul 2021 23:36:03.127,379.072
124,26 Jul 2021 01:06:02.066,26 Jul 2021 01:12:24.957,382.891
125,26 Jul 2021 02:42:39.578,26 Jul 2021 02:47:32.923,293.345
126,26 Jul 2021 19:24:19.642,26 Jul 2021 19:25:28.201,68.559
127,26 Jul 2021 20:57:24.701,26 Jul 2021 21:03:35.587,370.886
128,26 Jul 2021 22:33:31.328,26 Jul 2021 22:39:51.979,380.651
129,27 Jul 2021 00:09:53.422,27 Jul 2021 00:16:15.978,382.556
130,27 Jul 2021 01:46:13.811,27 Jul 2021 01:52:04.331,350.520
131,27 Jul 2021 20:01:39.477,27 Jul 2021 20:07:19.093,339.616
132,27 Jul 2021 21:37:19.225,27 Jul 2021 21:43:42.323,383.098
133,27 Jul 2021 23:13:43.315,27 Jul 2021 23:20:03.314,379.999
134,28 Jul 2021 00:49:59.387,28 Jul 2021 00:56:14.599,375.212
135,28 Jul 2021 02:27:26.040,28 Jul 2021 02:30:07.771,161.731
136,28 Jul 2021 19:06:18.313,28 Jul 2021 19:10:47.262,268.948
137,28 Jul 2021 20:41:11.131,28 Jul 2021 20:47:33.035,381.904
138,28 Jul 2021 22:17:30.993,28 Jul 2021 22:23:50.067,379.074
139,28 Jul 2021 23:53:49.149,29 Jul 2021 00:00:12.019,382.870
140,29 Jul 2021 01:30:25.507,29 Jul 2021 01:35:22.055,296.548
141,29 Jul 2021 18:12:24.358,29 Jul 2021 18:12:57.619,33.260
142,29 Jul 2021 19:45:11.431,29 Jul 2021 19:51:21.636,370.204
143,29 Jul 2021 21:21:17.195,29 Jul 2021 21:27:38.013,380.819
144,29 Jul 2021 22:57:39.440,29 Jul 2021 23:04:01.832,382.391
145,30 Jul 2021 00:33:59.426,30 Jul 2021 00:39:51.350,351.923
146,30 Jul 2021 18:49:25.952,30 Jul 2021 18:55:03.750,337.797
147,30 Jul 2021 20:25:04.145,30 Jul 2021 20:31:27.424,383.279
148,30 Jul 2021 22:01:28.203,30 Jul 2021 22:07:48.114,379.911
149,30 Jul 2021 23:37:44.253,30 Jul 2021 23:43:59.968,375.714
150,31 Jul 2021 01:15:06.876,31 Jul 2021 01:17:58.242,171.366
151,31 Jul 2021 17:54:05.228,31 Jul 2021 17:58:29.856,264.628
152,31 Jul 2021 19:28:55.280,31 Jul 2021 19:35:17.127,381.847
153,31 Jul 2021 21:05:14.746,31 Jul 2021 21:11:33.917,379.171
154,31 Jul 2021 22:41:33.064,31 Jul 2021 22:47:55.987,382.924
155,1 Aug 2021 00:18:08.275,1 Aug 2021 00:23:08.136,299.861

